Row.names	de00	de02	de04	de08	de24	old	new	prot	geneid	arcog	cog	gene_name
lcl|NC_013967.1_cds_WP_004041834.1_2932	-2.43504145002939	-4.89757972351928	-1.45938599721803	-1.81978930325211	-0.506680699968218	HVO_1954	HVO_RS14075	ribosomal-protein-alanine N-acetyltransferase RimI		arCOG00833	COG0456R	RimI
lcl|NC_013967.1_cds_WP_004045314.1_1274	-3.34130300662845	-4.92123834767553	-5.32957612840856	-4.26846715000456	-2.91682821463484	HVO_0200	HVO_RS05675	transcriptional regulator		arCOG03828	-	-
lcl|NC_013967.1_cds_WP_004041640.1_2751	-1.70854666841793	-5.05969586564283	-5.07933929455157	-3.95073004948317	-3.21049625735814	HVO_1757	HVO_RS13155	terminal quinol oxidase		arCOG02861	-	-
lcl|NC_013967.1_cds_WP_004044082.1_1887	-2.60140057814751	-5.22402008111164	-3.11482367031262	-2.01570989915273	-0.679514619781062	HVO_0855	HVO_RS08795	hypothetical protein		arCOG04672	-	-
lcl|NC_013967.1_cds_WP_004043629.1_2324	-4.87244964353826	-5.30317556010248	-5.50629539063026	-1.26404706396306	0.0119861415806349	HVO_RS11000	HVO_RS11000	hypothetical protein		NA	NA	-
lcl|NC_013967.1_cds_WP_004043998.1_1975	-3.43910222751588	-5.3616505251955	-6.42999001382072	-6.72934680099987	-7.11564323046997	HVO_0947	HVO_RS09235	hypothetical protein		arCOG11204	-	-
lcl|NC_013967.1_cds_WP_004062665.1_3218	0.777082597196458	-5.43650495782586	-5.63767697896001	-0.265401560844407	-5.67917746792456	HVO_2243	HVO_RS15485	hypothetical protein		arCOG13615	-	-
lcl|NC_013967.1_cds_WP_004044064.1_1905	-1.40326164606508	-5.50118460474287	-3.44841905943327	-2.41012144735036	-2.96829502967814	HVO_0873	HVO_RS08885	hypothetical protein		arCOG06211	-	-
lcl|NC_013967.1_cds_WP_081442890.1_3091	1.96592082287145	-5.5325226101658	1.20210399936005	-5.82704141676156	-5.76072919965301	HVO_RS20250	HVO_RS20250	hypothetical protein		NA	NA	-
lcl|NC_013967.1_cds_WP_004042071.1_3158	-1.77462999852585	-5.60510515984993	-4.91343230758541	-2.87343311828568	-2.81376345511129	HVO_2179	HVO_RS15185	hypothetical protein		arCOG06309	-	-
lcl|NC_013967.1_cds_WP_004041680.1_2785	-1.57657090636505	-5.73831081709686	-1.0825437870377	-6.03156469040542	0.793376424017474	HVO_1795	HVO_RS13325	hypothetical protein		arCOG03909	-	-
lcl|NC_013967.1_cds_WP_004044408.1_1573	-2.34157814167241	-6.50354899179559	-5.41150536977656	-3.93138001377692	-4.73936346032541	HVO_0515	HVO_RS07195	hypothetical protein		arCOG10374	-	-
lcl|NC_013967.1_cds_WP_004042127.1_3213	0.246067422823622	-6.75003842396779	-1.77117333949023	-7.04303224321345	-1.38514965878091	HVO_2238	HVO_RS15460	hypothetical protein		-	-	-
lcl|NC_013967.1_cds_WP_004042623.1_3538	-1.85867479805771	-6.84576166876399	-2.49393732568102	-1.31481523159494	-7.08322754791241	HVO_2569	HVO_RS17105	hypothetical protein		arCOG08170	-	-
lcl|NC_013967.1_cds_WP_004045285.1_1247	-5.11998348986504	-6.91023414540487	-8.21440585993537	-6.76875672425655	-5.07436737305847	HVO_0171	HVO_RS05540	SWIM zinc finger domain-containing protein		arCOG07773	-	-
lcl|NC_013967.1_cds_WP_049914768.1_2789	-0.585921754501759	-7.00250382792246	-2.71854601297006	-1.22220280779361	-1.52822899814044	HVO_1801	HVO_RS13345	hypothetical protein		arCOG06313	-	-
lcl|NC_013967.1_cds_WP_004042076.1_3163	-1.4386512257988	-7.00349609851993	-1.80807644381603	-7.29641251131705	-2.43928819813094	HVO_2184	HVO_RS15210	hypothetical protein		-	-	-
lcl|NC_013966.1_cds_WP_049914676.1_907	0.337523065202334	-7.2576902402779	1.22503903721816	-0.481186751394694	0.800704891948572	HVO_A0454	HVO_RS03860	hypothetical protein		arCOG08905	-	-
lcl|NC_013967.1_cds_WP_004044886.1_3938	-0.450345893857633	-7.26757276347952	-0.349730365735357	-2.06501830849583	-1.36966996165084	HVO_2987	HVO_RS19155	hypothetical protein		-	-	NA
lcl|NC_013966.1_cds_WP_081442873.1_858	-8.57913009247857	-9.00317812214587	-4.01746486320054	-9.29607245141826	-9.24223648510062	HVO_A0408A	HVO_RS19985	hypothetical protein		NA	NA	NA
