	shaking_mean	t00_mean	theta	prob	log2FC	length
HVO_RS00390	198.56374508885	23.1895003725843	0.54261844887828	0.804299545013269	3.09805858938161	1031
HVO_RS01805	1237.83139038512	562.74954978287	0.318338367483564	0.507280244667102	1.1372499104891	737
HVO_RS01800	3969.29295743556	4857.14561552313	-0.103497503381652	0.118068590550448	-0.291226692756964	194
HVO_RS01295	264.581926030621	155.12623843542	0.170711910452978	0.221413697991434	0.770271784404273	1307
HVO_RS01105	71.5052578566748	257.379912063937	-0.336565917557424	0.600487577741239	-1.84777822499261	410
HVO_RS00980	1960.5327383464	854.441423031764	0.316942631827616	0.505489664764131	1.19819223798401	422
HVO_RS19735	NA	NA	NA	NA	NA	253
HVO_RS19870	NA	NA	NA	NA	NA	455
HVO_RS19970	NA	NA	NA	NA	NA	1000
HVO_RS20040	NA	NA	NA	NA	NA	518
HVO_RS03945	2095.29598615002	1080.37251826157	0.394012697089987	0.602703623573194	0.955625209427796	584
HVO_RS03970	571.226202467871	80.7654038026802	0.559592509680421	0.819880421312565	2.8222528121429	1190
HVO_RS04250	399.252742367319	164.504365085061	0.246233364678469	0.392125935314715	1.27917645113653	1217
HVO_RS04680	28.5127127958254	402.682389300637	-0.667667443221372	0.919602913227777	-3.81996516579974	431
HVO_RS02705	28.1212339016035	514.731428569129	-0.720017077561563	0.933527423019326	-4.19408807019351	437
HVO_RS02765	313.185982995036	292.082384691315	0.0238757760362221	0.00163220531396779	0.100644291828421	1022
HVO_RS03020	549.90036376215	202.844676080372	0.331232683460019	0.523442981159981	1.43879480329738	767
HVO_RS03045	234.446905057283	108.674766667489	0.193877755120768	0.275914167875645	1.10924423606137	1436
HVO_RS03505	168.059523689154	890.617148287658	-0.5057862741902	0.816551372720462	-2.40583308986217	494
HVO_RS03525	510.868471050808	347.773446755408	0.110577733095956	0.0939019160988455	0.554804116574252	1103
HVO_RS02300	560.228852005	191.822692172697	0.344708127651349	0.53992566818334	1.54624288680752	740
HVO_RS02080	292.845030363632	470.110802375708	-0.147791475474191	0.217020988886038	-0.682863419836493	572
HVO_RS02060	86.1256763064297	419.63264532433	-0.427445234120445	0.746270908563642	-2.28461160493781	1040
HVO_RS02050	43.281380646659	376.221418746431	-0.512271043062881	0.821295918182778	-3.11976355959215	980
HVO_RS02405	3085.00518300585	3535.92044574515	-0.0731931063168016	0.0637444176896839	-0.19681290287323	284
HVO_RS03700	4406.39536963548	4475.78398478447	-0.00844464733322573	0.00326759622979045	-0.0225414604960316	284
HVO_RS02975	31.0979659923107	43.7688564041201	-0.0778252074215287	0.0710496708851698	-0.493084467753388	1385
HVO_RS02980	510.488043051082	1687.95488123474	-0.500213859945031	0.812450311449279	-1.72532726658561	323
HVO_RS03050	1676.38108407132	1569.87965149537	0.0460967441685053	0.0118450586156336	0.0946961826605001	443
HVO_RS01895	28.9505204923103	129.705157964709	-0.349635728846001	0.624311483471316	-2.1635746608371	1352
HVO_RS02410	90.86917862732	290.709705894653	-0.304638975064845	0.541699925893112	-1.6777162959797	683
HVO_RS19875	52.343185835048	230.016770181107	-0.398524109525205	0.706939063812058	-2.13566540886092	1340
