Row.names	de00	de02	de04	de08	de24	old	new	prot	gene_name	arcog
lcl|NC_013967.1_cds_WP_004042587.1_3521	1.686822565	7.260953485	5.2764989	5.388315943	5.053210695	HVO_2550	HVO_RS17010	30S ribosomal protein S14	rps14	arCOG00782
lcl|NC_013967.1_cds_WP_004042567.1_3516	0.743841603	6.634083587	5.090824442	4.271477676	3.580821807	HVO_2545	HVO_RS16985	50S ribosomal protein L18	rpl18	arCOG04088
lcl|NC_013967.1_cds_WP_004044017.1_1954	4.836012069	6.559373924	6.711170084	4.938381251	5.967322298	HVO_0925	HVO_RS09125	hypothetical protein		
lcl|NC_013966.1_cds_465	NA	6.532993618	6.663513373	NA	NA	HVO_A0004	HVO_RS19715	peptide-methionine (S)-S-oxide reductase		
lcl|NC_013964.1_cds_373	6.583492681	6.532993618	6.663513373	NA	7.332768992	HVO_RS19695	HVO_RS19695	molecular chaperone GroEL		
lcl|NC_013964.1_cds_WP_004041323.1_299	6.389055223	6.283973928	6.120069528	6.472225216	6.287373447	HVO_B0212	HVO_RS01045	hypothetical protein		arCOG11392
lcl|NC_013967.1_cds_WP_004042565.1_3515	-0.758848773	6.127744645	4.373736034	3.969461386	2.521926955	HVO_2544	HVO_RS16980	30S ribosomal protein S5	rps5	arCOG04087
lcl|NC_013967.1_cds_WP_004042593.1_3524	0.3229933	5.920672378	3.859361321	3.882339329	3.105982101	HVO_2553	HVO_RS17025	50S ribosomal protein L24	rpl24	arCOG04094
lcl|NC_013967.1_cds_WP_004042614.1_3533	1.29548829	5.860721828	3.940863421	3.930179651	3.09550594	HVO_2562	HVO_RS17070	50S ribosomal protein L23	rpl23	arCOG04072
lcl|NC_013968.1_cds_WP_013035711.1_79	4.453782092	5.820584095	5.226229107	NA	4.911176338	HVO_C0086	HVO_RS19620	hypothetical protein		arCOG10754
lcl|NC_013967.1_cds_WP_081442882.1_1353	5.810000673	5.683666967	5.67495215	5.368873998	4.178931279	HVO_0280A	HVO_RS20110	hypothetical protein		arCOG06428
lcl|NC_013967.1_cds_WP_004044086.1_1883	3.976374709	5.657146241	5.661725656	4.824507978	3.610466722	HVO_0852	HVO_RS08775	ArsR family transcriptional regulator	ArsR	arCOG00394
lcl|NC_013967.1_cds_WP_004042773.1_3615	3.731216183	5.595403714	6.106480655	NA	NA	HVO_2649	HVO_RS17490	hypothetical protein		
lcl|NC_013966.1_cds_WP_013035044.1_849	4.415586292	5.382874428	6.369240748	5.850566094	6.629649598	HVO_A0399	HVO_RS03635	hypothetical protein		arCOG08905
lcl|NC_013967.1_cds_WP_004042571.1_3517	0.098873208	5.373414253	3.937770742	3.480849691	2.874323102	HVO_2546	HVO_RS16990	50S ribosomal protein L19e	rpl19e	arCOG04089
lcl|NC_013967.1_cds_WP_004042563.1_3514	0.320348253	5.252685192	3.82525447	3.673387184	3.018070102	HVO_2543	HVO_RS16975	50S ribosomal protein L30	rpl30	arCOG04086
lcl|NC_013967.1_cds_WP_004042581.1_3520	-0.109816568	5.201592692	3.408819045	3.412563001	2.7115469	HVO_2549	HVO_RS17005	30S ribosomal protein S8	rps8	arCOG04091
lcl|NC_013967.1_cds_WP_004041861.1_2958	0.71474361	5.19644701	4.298931278	3.347837718	2.442087107	HVO_1981	HVO_RS14205	hypothetical protein		arCOG06301
lcl|NC_013967.1_cds_WP_013035418.1_3518	0.619732831	5.194309156	3.67160301	3.407357941	2.361174598	HVO_2547	HVO_RS16995	50S ribosomal protein L32e	rpl32e	arCOG00781
lcl|NC_013967.1_cds_WP_004042589.1_3522	0.176688281	5.186180045	3.514906614	3.134182034	2.736222285	HVO_2551	HVO_RS17015	50S ribosomal protein L5	rpl5	arCOG04092
