Row.names	de00	de02	de04	de08	de24	old	new	prot	gene_name	arcog
lcl|NC_013967.1_cds_WP_004042954.1_3698	-2.934092673	-1.690872884	-1.180781742	-0.82792029	-0.608819815	HVO_2733	HVO_RS17905	hypothetical protein		arCOG09016
lcl|NC_013967.1_cds_WP_004044428.1_1554	-2.949288913	-1.928181505	-2.249164696	-3.108679411	-2.663801525	HVO_0493	HVO_RS07085	transcriptional regulator	ArsR	arCOG03065
lcl|NC_013967.1_cds_WP_004041770.1_2872	-2.954381554	-3.032735314	-6.34413117	-3.52516784	-2.37176567	HVO_1889	HVO_RS13770	hypothetical protein		arCOG06324
lcl|NC_013966.1_cds_WP_004040850.1_948	-2.984057129	-3.005679622	-2.776690354	-2.731732646	-1.064604306	HVO_A0497	HVO_RS04065	hypothetical protein		arCOG03366
lcl|NC_013968.1_cds_72	-3.082037171	2.07284556	2.763537481	2.528936382	1.963750239	HVO_C0078	HVO_RS20415	IS630 family transposase		
lcl|NC_013967.1_cds_WP_004045290.1_1252	-3.211950689	0.297439285	-0.294265131	0.079919587	-0.371472814	HVO_0177	HVO_RS05565	ArsC family transcriptional regulator	arsC	arCOG04425
lcl|NC_013967.1_cds_WP_004045314.1_1274	-3.297030254	-5.054375821	-5.447694646	-4.326242241	-2.979983463	HVO_0200	HVO_RS05675	transcriptional regulator		arCOG03828
lcl|NC_013967.1_cds_WP_004042922.1_3684	-3.31144009	-4.027648985	-4.46911816	-4.080388369	-3.560503572	HVO_2718	HVO_RS17835	transcriptional regulator	MBF1	arCOG01863
lcl|NC_013967.1_cds_WP_004043998.1_1975	-3.395752648	-5.428811407	-6.470870051	-6.777842071	-7.168742444	HVO_0947	HVO_RS09235	hypothetical protein		arCOG06413
lcl|NC_013966.1_cds_WP_081442870.1_811	-3.983964674	1.272991939	0.352398395	0.917060981	0.075493453	HVO_A0359	HVO_RS19940	hypothetical protein		arCOG07578
lcl|NC_013967.1_cds_WP_004044556.1_1432	-4.123499791	0.45930817	0.228375214	0.320471219	-0.777424643	HVO_0368	HVO_RS06475	hypothetical protein		
lcl|NC_013966.1_cds_885	-4.250640225	3.966715474	4.515987166	4.308409057	2.094652698	HVO_A0434	HVO_RS20040	SAM-dependent methyltransferase		
lcl|NC_013967.1_cds_WP_013035644.1_2532	-4.463400571	-5.032452027	-1.870968317	-5.345569179	-1.820019546	HVO_1525	HVO_RS12030	IS4 family transposase		arCOG06380
lcl|NC_013967.1_cds_WP_004042972.1_3706	-4.467863162	1.45183575	-0.437343965	0.820973153	-5.224637727	HVO_2741	HVO_RS17945	hypothetical protein		
lcl|NC_013967.1_cds_WP_004044546.1_1441	-4.467863162	0.611241654	-5.215204475	0.529551684	-5.224637727	HVO_0378	HVO_RS06520	hypothetical protein		
lcl|NC_013967.1_cds_WP_004043629.1_2324	-4.90141395	-5.448464119	-5.637131747	-1.352671287	-0.091861317	HVO_RS11000	HVO_RS11000	hypothetical protein		arCOG01378
lcl|NC_013967.1_cds_WP_004041688.1_2793	-4.90141395	-0.865482342	-0.686115762	-2.319627449	-0.09165157	HVO_1805	HVO_RS13365	hypothetical protein		arCOG13157
lcl|NC_013967.1_cds_WP_004045285.1_1247	-5.049147691	-6.938012715	-8.130371399	-6.851179603	-5.164680756	HVO_0171	HVO_RS05540	SWIM zinc finger domain-containing protein		arCOG07773
lcl|NC_013967.1_cds_WP_004044551.1_1436	-5.430729312	-0.931615998	-6.135829175	0.697693842	-0.169800966	HVO_0373	HVO_RS06495	hypothetical protein		
lcl|NC_013966.1_cds_WP_081442873.1_858	-8.560149548	-9.076342844	-4.033876336	-9.352009001	-9.309680089	HVO_A0408A	HVO_RS19985	hypothetical protein		
