Row.names	de00	de02	de04	de08	de24	old	new	prot	gene_name	arcog
lcl|NC_013964.1_cds_373	6.583492681	6.532993618	6.663513373	NA	7.332768992	HVO_RS19695	HVO_RS19695	molecular chaperone GroEL		
lcl|NC_013967.1_cds_WP_004044270.1_1709	0.622426328	0.593117484	1.88996752	1.067700368	6.75009592	HVO_0665	HVO_RS07900	ribose 1,5-bisphosphate isomerase	thi4	arCOG00574
lcl|NC_013966.1_cds_WP_013035044.1_849	4.415586292	5.382874428	6.369240748	5.850566094	6.629649598	HVO_A0399	HVO_RS03635	hypothetical protein		arCOG08905
lcl|NC_013966.1_cds_WP_004040967.1_1055	NA	0.36290214	-1.009318654	0.519587796	6.425416248	HVO_A0611	HVO_RS04590	ABC transporter substrate-binding protein	znuA2	arCOG01005
lcl|NC_013964.1_cds_WP_004041113.1_128	NA	NA	2.692496082	5.557072615	6.290236611	HVO_B0041	HVO_RS00195	iron transporter	iucC	arCOG08178
lcl|NC_013964.1_cds_WP_004041323.1_299	6.389055223	6.283973928	6.120069528	6.472225216	6.287373447	HVO_B0212	HVO_RS01045	hypothetical protein		arCOG11392
lcl|NC_013966.1_cds_WP_013035013.1_771	4.598920946	4.391863466	4.779427158	5.050800125	6.280678984	HVO_A0319	HVO_RS19890	hypothetical protein		
lcl|NC_013966.1_cds_WP_081442868.1_772	6.556062669	4.532230297	5.704079692	6.223468796	6.213329668	HVO_RS19895	HVO_RS19895	hypothetical protein		arCOG14625
lcl|NC_013966.1_cds_WP_049914868.1_493	NA	NA	NA	NA	6.145327262	HVO_A0029	HVO_RS02000	hypothetical protein		arCOG08905
lcl|NC_013967.1_cds_WP_004041594.1_2705	0.66782721	4.058955981	5.669479053	6.021709089	5.999061032	HVO_1705	HVO_RS12900	iron ABC transporter substrate-binding protein	sfuA	arCOG00227
lcl|NC_013967.1_cds_WP_004044017.1_1954	4.836012069	6.559373924	6.711170084	4.938381251	5.967322298	HVO_0925	HVO_RS09125	hypothetical protein		
lcl|NC_013964.1_cds_WP_004041107.1_134	NA	0.595054653	4.460135954	5.595714261	5.966825875	HVO_B0047	HVO_RS00225	iron ABC transporter substrate-binding protein	FepB	arCOG06180
lcl|NC_013964.1_cds_WP_004041336.1_285	0.64112882	0.934958355	4.824486804	5.836186563	5.951787856	HVO_B0198	HVO_RS00975	iron ABC transporter substrate-binding protein	FepB	arCOG06180
lcl|NC_013964.1_cds_WP_004041108.1_133	0.017880438	-1.81789769	2.858210518	4.778502632	5.63487912	HVO_B0046	HVO_RS00220	diaminobutyrate--2-oxoglutarate transaminase	dat	arCOG00915
lcl|NC_013967.1_cds_WP_004041925.1_3018	NA	NA	1.842429721	3.752540321	5.527242014	HVO_2038	HVO_RS14505	iron ABC transporter substrate-binding protein	FepB	arCOG06180
lcl|NC_013964.1_cds_WP_004041112.1_129	0.701437808	NA	1.69052253	4.777028521	5.489777556	HVO_B0042	HVO_RS00200	lysine 6-monooxygenase	iucD	arCOG07945
lcl|NC_013964.1_cds_WP_004041027.1_214	NA	NA	5.64245756	5.050800125	5.207922037	HVO_B0129	HVO_RS00625	hypothetical protein		
lcl|NC_013967.1_cds_WP_004044862.1_3930	NA	4.435495336	4.472630388	5.037301601	5.17805914	HVO_2980	HVO_RS19120	hypothetical protein		arCOG07499
lcl|NC_013966.1_cds_WP_004040964.1_1052	4.53886139	NA	4.453421501	NA	5.141377355	HVO_RS04575	HVO_RS04575	hypothetical protein	Tar	arCOG02318
lcl|NC_013967.1_cds_WP_004045373.1_1329	NA	4.326798619	5.366623068	4.791068207	5.073139564	HVO_0257	HVO_RS05950	hypothetical protein		arCOG10116
