locus_tag	t04_mean	t08_mean	theta	prob	log2FC	length.x	P	wp	dbxref	ncbi_id	genomic_accession	feature	start	stop	strand	gene	gbkey	gene_biotype	old_locus_tag.x	length.y	protein	old_locus_tag.y	kegg1	kegg2	kegg3	gene_id	gene_description	kegg_id	kegg_gene	kegg_description	enzyme	keggidprot	Gene.Name	Species	EC_NUMBER	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OFFICIAL_GENE_SYMBOL	PFAM	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	chr	arCOG_name	E.value	score	arCOG_familiy	Gene_name	Description	HVO	EFFECTSIZE
HVO_RS00090	10.3608835727124	14.2549920265911	-0.316234827572956	0.421706829520345	-0.460320191491735	653	0.578293170479655	WP_004041134.1	8919107	lcl|NC_013964.1_cds_WP_004041134.1_106	NC_013964.1	gene	20051	20704	+	105	Gene	protein_coding	HVO_B0020	653	bacterio-opsin activator	HVO_B0020	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	bacterio-opsin activator(HVO_RS00090)	Haloferax volcanii DS2					IPR007050:Transcription regulator HTH, bacterioopsin		HVO_RS00090	PF04967:HTH DNA binding domain			Complete proteome,Plasmid,Reference proteome,	pHV3	arCOG02276	1.4e-21	75.5	T	-	Signal transduction regulator, containsPAS and HTH domains	HVO_B0020	-0.460320191491735
HVO_RS00350	3.80853688552224	8.67063471881279	-0.462441477834546	0.71387508378813	-1.18690073909109	530	0.28612491621187	WP_004041082.1	8919049	lcl|NC_013964.1_cds_WP_004041082.1_159	NC_013964.1	gene	81961	82491	-	158	Gene	protein_coding	HVO_B0073	530	transcriptional regulator	HVO_B0073	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	transcriptional regulator(HVO_RS00350)	Haloferax volcanii DS2		GO:0006351~transcription, DNA-templated	GO:0005622~intracellular	GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0043565~sequence-specific DNA binding	IPR000485:AsnC-type HTH domain,IPR011991:Winged helix-turn-helix DNA-binding domain,IPR019888:Transcription regulator AsnC-type		HVO_RS00350	PF13404:AsnC-type helix-turn-helix domain		SM00344:HTH_ASNC	Complete proteome,DNA-binding,Plasmid,Reference proteome,Transcription,Transcription regulation,	pHV3	arCOG01587	2.6e-64	213.6	K	-	DNA-binding transcriptional regulator, Lrp family	HVO_B0073	-1.18690073909109
HVO_RS00570	11.1312429367933	15.36086473748	-0.258451167506679	0.297016788266805	-0.464644738756015	1949	0.702983211733195	WP_004041038.1	8919024	lcl|NC_013964.1_cds_WP_004041038.1_203	NC_013964.1	gene	131561	133510	+	202	Gene	protein_coding	HVO_B0118	1949	SMC-like protein Sph2	HVO_B0118	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	SMC-like protein Sph2(HVO_RS00570)	Haloferax volcanii DS2					IPR027417:P-loop containing nucleoside triphosphate hydrolase		HVO_RS00570				Coiled coil,Complete proteome,	pHV3	arCOG00385	2e-08	32.2	S	-	Uncharacterized coiled-coil protein	HVO_B0118	-0.464644738756015
HVO_RS00635	11.7983813292868	11.1845312819282	0.039379934034298	0.030870994078131	0.0770841460001763	863	0.969129005921869	WP_004041025.1	8919172	lcl|NC_013964.1_cds_WP_004041025.1_216	NC_013964.1	gene	145516	146379	+	215	Gene	protein_coding	HVO_B0131	863	hypothetical protein	HVO_B0131	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	hypothetical protein(HVO_RS00635)	Haloferax volcanii DS2					IPR011991:Winged helix-turn-helix DNA-binding domain		HVO_RS00635				Complete proteome,Plasmid,Reference proteome,	pHV3	arCOG01449	2.3e-66	221.6	V	Csx1	CARF domain containing protein	HVO_B0131	0.0770841460001763
HVO_RS00705	8.77735801187141	9.55056351378835	-0.0601799869087062	0.00285640549175925	-0.121799105938901	695	0.997143594508241	WP_004041011.1	8919253	lcl|NC_013964.1_cds_WP_004041011.1_230	NC_013964.1	gene	162589	163284	-	229	Gene	protein_coding	HVO_B0145	695	creatininase	HVO_B0145	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	creatininase(HVO_RS00705)	Haloferax volcanii DS2	3.5.2.10			GO:0047789~creatininase activity	IPR003785:Creatininase/formamide hydrolase,IPR024087:Creatininase-like domain		HVO_RS00705	PF02633:Creatinine amidohydrolase			Complete proteome,Hydrolase,Plasmid,Reference proteome,	pHV3	arCOG04536	2.6e-46	155.7	H	ArfB	Creatinine amidohydrolase/Fe(II)-dependent formamide hydrolase involved in riboflavin and F420 biosynthesis	HVO_B0145	-0.121799105938901
HVO_RS00755	605.949911248365	584.267471040808	0.0633559589084928	0.0537333495740204	0.0525695734368874	413	0.94626665042598	WP_004041383.1	25143363	lcl|NC_013964.1_cds_WP_004041383.1_240	NC_013964.1	gene	174818	175231	-	239	Gene	protein_coding	NA	413	response regulator	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	response regulator(HVO_RS00755)	Haloferax volcanii DS2		GO:0000160~phosphorelay signal transduction system	GO:0005622~intracellular	GO:0016301~kinase activity	IPR001789:Signal transduction response regulator, receiver domain,IPR011006:CheY-like superfamily		HVO_RS00755	PF00072:Response regulator receiver domain		SM00448:REC	Complete proteome,Kinase,Transferase,	pHV3	arCOG02595	1.1e-33	113.2	T	OmpR	REC domain	---	0.0525695734368874
HVO_RS00770	16.0295283253795	8.33216633780141	0.366756978111597	0.59084721296691	0.943968428519476	548	0.40915278703309	WP_004041380.1	25143364	lcl|NC_013964.1_cds_WP_004041380.1_243	NC_013964.1	gene	181542	182090	+	242	Gene	protein_coding	NA	548	hypothetical protein	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	hypothetical protein(HVO_RS00770)	Haloferax volcanii DS2					IPR011991:Winged helix-turn-helix DNA-binding domain		HVO_RS00770				Complete proteome,	pHV3	arCOG09362	2.8e-99	328.2	S	-	Uncharacterized protein	---	0.943968428519476
HVO_RS00895	5.51112464898837	2.38924789357392	0.43944900188685	0.714787218591942	1.20579021132114	974	0.285212781408058	WP_004041353.1	8919290	lcl|NC_013964.1_cds_WP_004041353.1_268	NC_013964.1	gene	211615	212589	+	267	Gene	protein_coding	HVO_B0182	974	deoxyhypusine synthase	HVO_B0182	Not Included in Pathway or Brite	Unclassified: metabolism	Enzymes with EC numbers	dhs2	deoxyhypusine synthase	K00809	DHPS	 deoxyhypusine synthase	[EC:2.5.1.46]	K00809: 	deoxyhypusine synthase(HVO_RS00895)	Haloferax volcanii DS2	2.5.1.46	GO:0008612~peptidyl-lysine modification to peptidyl-hypusine,GO:0050983~deoxyhypusine biosynthetic process from spermidine		GO:0034038~deoxyhypusine synthase activity	IPR002773:Deoxyhypusine synthase,IPR022899:Deoxyhypusine synthase, putative, archaeal		HVO_RS00895	PF01916:Deoxyhypusine synthase			Complete proteome,Hypusine biosynthesis,NAD,Plasmid,Reference proteome,Transferase,	pHV3	arCOG04142	3.8e-86	287	O	DYS1	Deoxyhypusine synthase	HVO_B0182	1.20579021132114
HVO_RS00945	67.1157033219728	97.8428048732045	-0.320557078417535	0.430943159283962	-0.543815403509046	311	0.569056840716038	WP_004041342.1	8919151	lcl|NC_013964.1_cds_WP_004041342.1_279	NC_013964.1	gene	223140	223451	-	278	Gene	protein_coding	HVO_B0192	311	hypothetical protein	HVO_B0192	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	hypothetical protein(HVO_RS00945)	Haloferax volcanii DS2			GO:0016021~integral component of membrane				HVO_RS00945				Complete proteome,Membrane,Plasmid,Reference proteome,Transmembrane,Transmembrane helix,	pHV3	arCOG03916	1.3e-30	103.4	S	-	Uncharacterized membrane protein	HVO_B0192	-0.543815403509046
HVO_RS00950	407.602424035243	1141.71367956131	-2.31791588147332	1	-1.4859663586915	371	3.33066907387547e-16	WP_004041341.1	8919133	lcl|NC_013964.1_cds_WP_004041341.1_280	NC_013964.1	gene	223453	223824	-	279	Gene	protein_coding	HVO_B0193	371	transcriptional regulator	HVO_B0193	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA: 	transcriptional regulator(HVO_RS00950)	Haloferax volcanii DS2					IPR011991:Winged helix-turn-helix DNA-binding domain		HVO_RS00950	PF12840:Helix-turn-helix domain			Complete proteome,Plasmid,Reference proteome,	pHV3	arCOG03065	3.6e-41	137.6	K	ArsR	Transcriptional regulator containing HTH domain, ArsR family	HVO_B0193	-1.4859663586915
