	t00_mean	t02_mean	theta	prob	log2FC	length
HVO_RS00705	206.143132377454	823.462302134346	-0.392481627474719	0.360957350244749	-1.99805620640973	695
HVO_RS00635	145.363129475672	649.995974793839	-0.408166774868683	0.392304385060593	-2.16076939971159	863
HVO_RS00570	256.158806849554	355.121713708019	-0.0910834360936356	0.425861973371552	-0.471275082675486	1949
HVO_RS00350	332.777484021344	1076.53883032554	-0.353578084470233	0.227555318259886	-1.69377062983164	530
HVO_RS00090	607.109839280727	844.94640049326	-0.0920281607010063	0.424173692351823	-0.47690227158702	653
HVO_RS01720	890.854187947616	1122.17151430676	-0.0683727621005971	0.459735212581814	-0.333031975728876	524
HVO_RS01710	113.924680604354	253.863296108781	-0.179944115047792	0.256711305652806	-1.15597149743266	2303
HVO_RS01330	225.528549780746	326.257241001398	-0.084601504736587	0.436908463619057	-0.532699844840061	1706
HVO_RS00950	5331.57705274891	6875.65494455425	-0.141776576689217	0.323337272033346	-0.36693480703786	371
HVO_RS00945	1738.36608620868	2320.12209829829	-0.124679564829907	0.358446667044569	-0.416468795979049	311
HVO_RS00895	124.526237400455	560.213126851628	-0.359657581578384	0.250217619303029	-2.16952604192998	974
HVO_RS00770	1001.6560099206	301.982413918281	0.324367149037035	0.146459365990494	1.72985070016581	548
HVO_RS00755	2832.66250143926	2815.13465565061	0.00249692165491269	0.462993903608246	0.00895478951520094	413
HVO_RS19935	NA	NA	NA	NA	NA	245
HVO_RS03435	NA	NA	NA	NA	NA	434
HVO_RS04090	722.026041674536	978.488077971297	-0.137814165460588	0.331268141108322	-0.438503400516384	872
HVO_RS04280	810.963793670779	1046.50456892781	-0.0852385434979086	0.43586684324943	-0.367869199901132	599
HVO_RS04545	399.524640618571	858.490756353102	-0.198083636481817	0.230255374883688	-1.1035181164641	611
HVO_RS04675	2208.48324837511	2279.20552625539	-0.0183854401279037	0.478129107493415	-0.0454751354011975	368
HVO_RS02480	563.777910393735	821.82504906012	-0.111599855931904	0.385871376565257	-0.543704352018545	611
HVO_RS02940	1040.57339561062	1218.84473938753	-0.0617170550725913	0.466828533265168	-0.228135634786258	527
HVO_RS03305	754.468668126012	865.30792868834	-0.0380565434221914	0.480455675127186	-0.197752632741114	581
HVO_RS01920	NA	NA	NA	NA	NA	449
HVO_RS02130	516.85100119852	557.56093578426	-0.0195239418734148	0.478588258772774	-0.109381048086133	821
HVO_RS19745	802.425825292861	859.184375896999	-0.021892481356872	0.479419395829237	-0.0985997199987712	626
HVO_RS02045	2678.22800017845	2383.08354503672	0.0719266257393837	0.338521340893402	0.168449254187405	302
HVO_RS02040	2333.46266782883	2506.30140042603	-0.0401790241035211	0.479979593438392	-0.103087532985873	425
HVO_RS01975	NA	NA	NA	NA	NA	683
HVO_RS01970	3152.37043528075	4004.33051835904	-0.142024424734206	0.32284941343817	-0.345123983512265	167
HVO_RS01960	2040.89580629339	1924.49331983517	0.0343775146366041	0.417484583559254	0.0847238670680155	395
HVO_RS01955	629.554885494228	673.327284196493	-0.0183182269197388	0.478100257777413	-0.0969757664634504	704
HVO_RS03500	829.28236623224	2220.61881890809	-0.378826654665725	0.31991586546981	-1.4210264473542	296
HVO_RS02535	391.493829313438	437.55142080197	-0.0296292200712598	0.480938436610012	-0.160463003554066	1169
HVO_RS03835	513.609016007495	133.92285286542	0.337470808847916	0.17694992172049	1.93926836201618	1166
HVO_RS03085	1273.95428732962	2746.81069946702	-0.383329814353992	0.334582646039038	-1.10844397735958	317
HVO_RS03550	86.9286049601068	543.017305688756	-0.483314701307639	0.294914660515333	-2.6430952793469	1019
HVO_RS02965	2218.71317619231	2970.03560689964	-0.177435944811736	0.26056170784304	-0.420757051776645	374
HVO_RS19945	525.437701630421	566.751208193984	-0.0199581368442584	0.47875746961355	-0.109195839885187	881
HVO_RS02380	688.229727328938	269.023608615662	0.256217355580624	0.0159707212124803	1.35515742460415	1166
HVO_RS03005	404.705776688746	473.388696991614	-0.0436783252551877	0.478871977819883	-0.226151817646568	1166
HVO_RS20080	NA	NA	NA	NA	NA	194
HVO_RS02165	197.930125350755	336.607784167625	-0.139427102919137	0.328025328548447	-0.766077329765292	1499
HVO_RS03490	397.195208459867	69.6516195473441	0.39180658469697	0.209855775545896	2.51161941507015	1166
HVO_RS02455	34630.1720906233	52512.7219370439	-0.215528909016286	0.206017022009884	-0.600637421197544	878
HVO_RS03695	425.299787056634	864.66811258412	-0.235401564857727	0.178486503994913	-1.02366635364409	683
HVO_RS19720	2635.07093524652	743.315197958778	0.418661040043916	0.15928558095378	1.82579578822548	200
HVO_RS19805	2659.51396451744	592.091366703502	0.525613381145348	0	2.16727088918882	233
HVO_RS20145	1649.33462730069	1639.59077582601	0.0023548901346101	0.463139654556522	0.00854835279419227	719
HVO_RS20160	392.486802767088	520.969247911056	-0.0946204201920016	0.419447786413545	-0.408554070040329	1430
HVO_RS20165	350.802767651321	442.45929413256	-0.0787512681956163	0.445987798076404	-0.334884604679941	1373
HVO_RS12285	212.619501349927	213.077797501894	-0.000521935429605311	0.465945329318344	-0.00310634736431617	1193
HVO_RS12345	176.196063768856	273.314512044941	-0.135259828747584	0.336462052445543	-0.633380369236706	1877
HVO_RS12475	957.41184877128	606.901388126996	0.132905934806543	0.216621055683222	0.657677540318409	446
HVO_RS12560	528.151695436865	578.039924025174	-0.0322545986304934	0.481030296322274	-0.130216780965988	920
HVO_RS12625	70.4643995823054	218.694653073513	-0.299030037988592	0.112693405727044	-1.63395148772617	1208
HVO_RS12645	1098.14946483904	646.761168869294	0.166700745689357	0.172563779402272	0.763769459271897	452
HVO_RS12715	971.89071203338	1161.44489406524	-0.0774575340962053	0.447871059905713	-0.25705470693135	464
HVO_RS12795	215.304274042818	142.564151861703	0.096999275757374	0.282001223407439	0.594765701134147	1931
