	X02_mean	p0_mean	theta	prob	log2FC	length	P	ncbi_id
lcl|NC_013967.1_cds_WP_004044952.1_3964	366.741438724189	261.847843643969	0.664260692747107	0.97314197809909	0.486034563740846	641	0.0268580219009098	lcl|NC_013967.1_cds_WP_004044952.1_3964
lcl|NC_013967.1_cds_WP_004044951.1_3963	377.084598716366	423.78840259375	-0.245855684742616	0.726397849452234	-0.168455879791284	392	0.273602150547766	lcl|NC_013967.1_cds_WP_004044951.1_3963
lcl|NC_013967.1_cds_WP_013035500.1_3962	17.6149570070543	36.0828849506185	-0.54108720155843	0.947752990819117	-1.0345137379883	992	0.052247009180883	lcl|NC_013967.1_cds_WP_013035500.1_3962
lcl|NC_013967.1_cds_WP_004044943.1_3961	17.4981178113454	27.1141206726719	-0.333392049776047	0.830369594137703	-0.631844637025973	2576	0.169630405862297	lcl|NC_013967.1_cds_WP_004044943.1_3961
lcl|NC_013967.1_cds_WP_004044927.1_3959	47.9526493500497	86.2823975457565	-0.575445838960178	0.956547423866871	-0.847455740174265	605	0.0434525761331295	lcl|NC_013967.1_cds_WP_004044927.1_3959
lcl|NC_013967.1_cds_WP_004044925.1_3958	637.33544495402	99.9397328795604	3.43091660019538	0.999999999999998	2.67292263029769	914	2.1094237467878e-15	lcl|NC_013967.1_cds_WP_004044925.1_3958
lcl|NC_013967.1_cds_WP_004044915.1_3954	426.391078331831	267.172645384762	0.714295068824814	0.978199841035136	0.674404947667156	275	0.0218001589648636	lcl|NC_013967.1_cds_WP_004044915.1_3954
lcl|NC_013967.1_cds_WP_004044914.1_3953	1.90272825233028	2.08386018540789	-0.0448490579229563	0.0735827884407197	-0.131188954026429	980	0.92641721155928	lcl|NC_013967.1_cds_WP_004044914.1_3953
lcl|NC_013967.1_cds_WP_004044911.1_3952	3.2195527865283	2.18757102005344	0.193242089080359	0.637935814703681	0.557530448864356	923	0.362064185296319	lcl|NC_013967.1_cds_WP_004044911.1_3952
lcl|NC_013967.1_cds_WP_013035280.1_3947	6.74233907641925	11.0769748333909	-0.380148946325204	0.873844262436854	-0.716242841042641	1160	0.126155737563146	lcl|NC_013967.1_cds_WP_013035280.1_3947
lcl|NC_013967.1_cds_WP_004044900.1_3946	52312.5646528849	33165.6250562785	3.39515354312595	0.999999999999999	0.657468784787209	389	7.7715611723761e-16	lcl|NC_013967.1_cds_WP_004044900.1_3946
lcl|NC_013967.1_cds_3945	5.74087710110893	3.73592225093812	0.251168423446263	0.745563976835649	0.619806740047385	909	0.254436023164351	lcl|NC_013967.1_cds_3945
lcl|NC_013967.1_cds_WP_004044895.1_3943	100.912313523089	29.6803871630049	0.804917194910034	0.982930952875091	1.76552040943762	368	0.0170690471249086	lcl|NC_013967.1_cds_WP_004044895.1_3943
lcl|NC_013967.1_cds_WP_004044893.1_3942	25.2271052522138	64.813940490146	-0.837440636670784	0.98823555898205	-1.36132947805439	251	0.01176444101795	lcl|NC_013967.1_cds_WP_004044893.1_3942
lcl|NC_013967.1_cds_WP_004044889.1_3940	7.3619010239926	6.44280042047245	0.0940904718900455	0.267106024838384	0.192390448862796	1364	0.732893975161616	lcl|NC_013967.1_cds_WP_004044889.1_3940
